Blue,Green,Red,Type
36,27,231,0
36,84,250,0
37,164,255,0
22,205,255,0
38,223,221,0
29,214,148,0
0,181,76,0
13,156,0,2
92,166,0,1
184,191,0,1
200,136,1,1
198,76,0,1
180,38,51,1
181,22,72,1
140,17,57,1
38,27,237,0
50,100,244,0
30,143,247,0
36,195,255,0
0,242,254,0
65,195,132,0
73,183,77,0
75,169,51,2
182,184,10,1
205,144,70,1
166,87,60,1
162,81,90,1
157,69,99,1
128,33,108,1
110,23,73,1
37,28,238,0
36,103,242,0
17,198,248,0
28,237,245,0
50,210,180,0
65,195,132,0
73,183,77,0
73,170,52,2
107,180,34,1
182,184,10,1
205,144,70,1
166,82,56,1
162,81,90,1
157,69,99,1
131,44,70,1
35,29,236,0
37,104,243,0
18,197,248,0
28,237,245,0
50,210,180,0
65,195,132,0
73,183,77,0
73,169,51,2
106,178,34,1
182,185,9,1
200,144,73,1
164,84,55,1
162,81,90,1
157,69,99,1
131,44,70,1
32,20,255,0
27,83,255,0
0,165,254,0
8,203,253,0
1,225,220,0
0,215,110,0
0,183,1,0
0,153,0,2
84,166,0,1
185,192,1,1
204,139,1,1
203,74,1,1
185,33,52,1
167,12,73,1
145,8,62,1
24,23,241,0
13,103,244,0
0,198,250,0
0,239,246,0
25,212,180,0
55,197,130,0
67,185,72,0
67,170,43,2
104,181,16,1
183,185,2,1
207,143,65,1
166,82,54,1
164,78,90,1
159,65,99,1
133,41,70,1
37,28,238,0
36,103,242,0
18,197,248,0
28,237,245,0
50,210,180,0
65,195,132,0
77,183,76,0
73,169,51,2
107,180,34,1
182,185,9,1
205,144,70,1
164,84,55,1
162,81,90,1
157,69,99,1
131,44,70,1
46,30,191,0
39,43,216,0
51,90,229,0
31,146,250,0
68,179,252,0
39,230,221,0
62,200,142,0
75,192,67,2
117,182,43,1
160,167,2,1
196,160,30,1
189,117,29,1
145,57,43,1
98,34,39,1
24,23,241,0
13,103,244,0
0,198,250,0
0,239,246,0
25,212,180,0
55,197,130,0
67,185,72,0
67,170,43,2
104,181,16,1
181,183,0,1
207,143,65,1
166,82,54,1
164,78,90,1
159,65,99,1
133,41,70,1
24,23,241,0
13,103,244,0
0,198,250,0
0,239,246,0
25,212,180,0
55,197,130,0
67,185,72,0
67,170,43,2
104,181,16,1
182,184,0,1
207,143,65,1
166,82,54,1
164,78,90,1
159,65,99,1
133,41,70,1
58,0,219,0
38,78,227,0
20,161,236,0
0,235,251,0
0,218,181,0
1,189,123,0
1,179,60,0
0,159,0,2
92,169,1,1
185,185,1,1
202,133,0,1
223,79,0,1
196,58,40,1
189,46,79,1
143,32,64,1
24,23,241,0
13,103,244,0
0,198,250,0
0,239,246,0
25,212,180,0
55,197,130,0
67,185,72,0
67,170,43,2
104,181,16,1
182,184,0,1
207,143,65,1
166,82,54,1
164,78,90,1
159,65,99,1
133,41,70,1
26,0,224,0
1,76,222,0
0,123,219,0
0,209,249,0
0,250,245,0
0,253,183,0
21,224,143,0
34,214,19,2
206,206,0,1
251,148,15,1
248,91,17,1
244,54,19,1
241,20,58,1
200,1,63,1
173,0,62,1
23,39,135,0
24,38,168,0
30,27,213,0
33,32,228,0
29,126,240,0
6,192,240,0
30,203,173,0
73,183,77,2
59,137,0,1
182,184,10,1
205,144,70,1
166,103,82,1
146,47,55,1
118,17,25,1
70,16,29,1
36,27,231,0
36,84,250,0
37,164,255,0
21,203,255,0
38,223,221,0
29,214,148,0
0,181,76,0
13,156,0,2
90,166,1,1
184,190,1,1
198,136,0,1
198,76,0,1
180,37,52,1
181,22,72,1
140,17,57,1
42,44,98,0
46,63,150,0
43,44,184,0
28,37,218,0
40,82,219,0
25,120,230,0
0,193,232,0
0,245,255,2
124,220,184,1
39,195,131,1
70,143,70,1
107,145,69,1
194,124,1,1
122,70,33,1
111,22,41,1
1,0,103,0
0,0,154,0
1,0,204,0
0,51,255,0
0,102,255,0
0,153,254,0
